"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Text Editing","Where Is Command","Ctrl+H W","Editing Text"
"Text Editing","Eval Expression","Esc Shift+;","In Windows"
"gazonk.del","Delete Previous Word","Esc Backspace","In Console View"
"Text Editing","Number to Register","Ctrl+X R N","Editing Text"
"Text Editing","Scroll Up","Shift+Ctrl+V","Editing Text"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Universal Argument","Alt+4","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Text Editing","Copy to Register","Ctrl+X X","Editing Text"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Text Editing","Next Line","Down","Editing Text"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","View Register","Ctrl+X R V","Editing Text"
"Text Editing","Kbd Macro Call","Ctrl+X E","Editing Text"
"Text Editing","Kbd Macro Start","F3","Editing Text"
"Text Editing","Emacs+ News","Ctrl+H N","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Source","Toggle Comment","Alt+;","Editing Java Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Text Editing","Rotate Yank Pointer","Ctrl+Alt+Y","Editing Text"
"Text Editing","Clear Rectangle","Ctrl+X R C","Editing Text"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","Regexp I-Search forward","Ctrl+Alt+S","Editing Text"
"Text Editing","View Kbd Macro","Ctrl+X Ctrl+K Ctrl+E","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+8","Editing Text"
"Text Editing","Uppercase","Alt+U","Editing Text"
"Navigate","Quick Outline","Ctrl+]","PDE editor"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Kill Rectangle","Ctrl+X R K","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Text Editing","Just One Space","Alt+Space","Editing Text"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Zap to Char","Alt+Z","In Windows"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Text Editing","Deactivate Window","Ctrl+X 0","In Windows"
"Text Editing","Execute Extended Command","Alt+X","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Universal Argument","Ctrl+U","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","End Buffer","Esc Shift+.","Editing Text"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Comment Previous","Alt+P","Editing Java Source"
"Navigate","Backward History","Ctrl+X Left","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Backward Word","Ctrl+Left","Editing Text"
"Navigate","Open Declaration","Alt+.","Editing Java Source"
